fips,total,veterans,pct_veterans
1,3705690,363170,9.8
2,528564,69323,13.1
4,5007440,505794,10.1
5,2245625,220953,9.8
6,29115176,1777410,6.1
8,4004634,391725,9.8
9,2800025,199331,7.1
10,719332,71213,9.9
11,532733,28632,5.4
12,15551250,1507738,9.7
13,7466582,670617,9.0
15,1056781,110238,10.4
16,1183548,119711,10.1
17,9832607,668933,6.8
18,4978964,426493,8.6
19,2365180,211066,8.9
20,2152041,198396,9.2
21,3366540,297312,8.8
22,3496000,281989,8.1
23,1065127,119058,11.2
24,4555597,403900,8.9
25,5303395,355083,6.7
26,7647177,626722,8.2
27,4136443,342388,8.3
28,2241286,184774,8.2
29,4625416,451342,9.8
30,786786,90000,11.4
31,1399725,132918,9.5
32,2128243,220332,10.4
33,1051190,106827,10.2
34,6873695,393277,5.7
35,1568495,164157,10.5
36,15397847,828586,5.4
37,7478600,696119,9.3
38,552988,51179,9.3
39,8911658,806531,9.1
40,2883592,295847,10.3
41,3076391,306723,10.0
42,10052453,870770,8.7
44,835607,66076,7.9
45,3665349,378959,10.3
46,632607,63742,10.1
47,4989249,462414,9.3
48,19384188,1539655,7.9
49,2001677,134332,6.7
50,502860,44708,8.9
51,6281984,706539,11.2
53,5340310,564864,10.6
54,1468235,150021,10.2
55,4430290,381940,8.6
56,439526,48505,11.0
72,2777916,95342,3.4
